t_s,swap_mb,swap_delta_mb,rss_kb,faults,pageins
0.4,224.0,0.0,1440,10602,201
2.8,224.0,0.0,491504,46230,22538
5.1,224.0,0.0,2696112,202287,115440
7.6,224.0,0.0,3736496,313734,184267
10.0,224.0,0.0,4335008,411028,234954
12.4,224.0,0.0,3599904,500496,294194
14.8,224.0,0.0,429920,501736,483278
