t_s,swap_mb,swap_delta_mb,rss_kb,faults,pageins
0.4,619.06,0.0,5728,10679,219
2.8,619.06,0.0,443088,31532,14808
5.2,619.06,0.0,2239888,168598,96351
7.7,619.06,0.0,4098176,282514,165823
10.1,619.06,0.0,4134896,367773,213470
12.5,619.06,0.0,4601152,438011,248160
15.0,619.06,0.0,3895184,492295,294470
17.5,619.06,0.0,1997008,516652,294472
19.9,619.06,0.0,1716672,528640,294474
22.3,619.06,0.0,1779584,537450,294491
24.8,619.06,0.0,1885712,544023,294502
27.2,619.06,0.0,1899360,548920,294519
29.6,619.06,0.0,1875024,553573,294529
32.1,619.06,0.0,1816176,558465,294542
34.5,619.06,0.0,1846304,566339,294546
37.0,619.06,0.0,1885696,570413,294555
