t_s,swap_mb,swap_delta_mb,rss_kb,faults,pageins
0.4,619.06,0.0,5936,10658,199
2.8,619.06,0.0,450240,33156,15691
5.2,619.06,0.0,2563376,186004,100482
7.7,619.06,0.0,3836224,306942,165175
10.1,619.06,0.0,4308976,398512,212912
12.5,619.06,0.0,5177840,490926,258442
14.9,619.06,0.0,4048096,563647,294051
17.4,619.06,0.0,3298944,629893,294084
19.9,619.06,0.0,1814608,648278,294084
22.3,619.06,0.0,1745936,660657,294098
24.7,619.06,0.0,1879312,668807,294110
27.2,619.06,0.0,1864640,675007,294122
29.6,619.06,0.0,1922224,679770,294139
32.0,619.06,0.0,1948960,684338,294151
34.5,619.06,0.0,2019296,689644,294161
36.9,619.06,0.0,2142272,697154,294165
