t_s,swap_mb,swap_delta_mb,rss_kb,faults,pageins
0.4,2256.06,0.0,1664,14505,4827
2.8,2256.06,0.0,1529472,110040,53358
5.1,2256.06,0.0,3001264,199455,98831
7.6,2256.06,0.0,4008960,259895,129597
10.0,2256.06,0.0,2940160,316608,158411
12.3,2256.06,0.0,3193776,373183,187376
14.7,2256.06,0.0,3772704,429932,216454
17.1,2256.06,0.0,4108096,489042,246353
19.5,2256.06,0.0,4292960,541944,274084
21.9,2256.06,0.0,4078736,568428,286869
24.3,2256.06,0.0,4384048,737054,329713
26.7,2256.06,0.0,4140432,966309,329904
29.1,2256.06,0.0,3396352,1168634,330041
31.5,2256.06,0.0,3103680,1354863,347129
33.9,2256.06,0.0,2998096,1569344,370440
36.3,2256.06,0.0,3139856,1770071,373082
38.8,2256.06,0.0,2777808,1950139,389917
41.2,2256.06,0.0,2796944,2165121,411293
43.6,2256.06,0.0,2877328,2378937,417077
46.0,2256.06,0.0,2884128,2573948,436668
48.4,2256.06,0.0,2882832,2778690,456186
50.8,2256.06,0.0,2890880,2991350,465932
53.3,2256.06,0.0,2923616,3194522,507277
55.7,2256.06,0.0,3271856,3405865,525180
58.1,2256.06,0.0,3254592,3623159,537234
60.5,2256.06,0.0,2931200,3840313,558466
62.9,2256.06,0.0,2874768,4057131,584596
65.3,2256.06,0.0,3066912,4299330,610198
67.8,2256.06,0.0,3136720,4505298,629978
