t_s,swap_mb,swap_delta_mb,rss_kb,faults,pageins
0.4,2312.06,0.0,2656,14516,4794
2.7,2312.06,0.0,1549040,110959,54287
5.1,2312.06,0.0,3057856,205074,102542
7.5,2312.06,0.0,4436816,287486,144761
9.9,2312.06,0.0,3407200,355164,179350
12.3,2312.06,0.0,3514864,419812,212505
14.7,2312.06,0.0,4227856,491862,247334
17.2,2312.06,0.0,4545296,551695,278722
19.6,2312.06,0.0,4798656,668300,344279
21.9,2312.06,0.0,5646768,908047,473329
24.3,2312.06,0.0,6366432,1078628,562510
26.8,2312.06,0.0,5899920,1246154,615676
29.2,2312.06,0.0,5435184,1395416,673730
31.6,2304.06,-8.0,5257936,1552499,745249
34.0,2304.06,-8.0,5487312,1720895,811718
36.4,2304.06,-8.0,5457600,1849593,860714
38.8,2304.06,-8.0,5453536,2008473,926206
41.2,2304.06,-8.0,5441440,2161073,988913
43.6,2304.06,-8.0,5594928,2328502,1049684
46.0,2304.06,-8.0,5633568,2490114,1114099
48.4,2304.06,-8.0,4778368,2635078,1181158
50.9,2296.06,-16.0,5078816,2800094,1239148
53.3,2296.06,-16.0,5150384,2953944,1300988
55.7,2296.06,-16.0,4685008,3125623,1367907
58.1,2296.06,-16.0,5119136,3286912,1450972
60.5,2288.06,-24.0,4900112,3459854,1527861
