t_s,swap_mb,swap_delta_mb,rss_kb,faults,pageins
0.4,2256.06,0.0,2656,14211,4446
2.8,2256.06,0.0,1485152,103813,50439
5.2,2256.06,0.0,2565712,167992,83137
7.6,2256.06,0.0,2251344,228074,112496
10.1,2256.06,0.0,2434096,282739,140441
12.5,2256.06,0.0,3060000,339468,169476
14.9,2256.06,0.0,3463072,400101,200783
17.3,2256.06,0.0,3934560,466829,232798
19.7,2256.06,0.0,4166592,523843,262724
22.1,2256.06,0.0,3771600,577375,287733
24.5,2256.06,0.0,3918480,675571,311137
26.9,2256.06,0.0,3813536,798770,330795
29.3,2256.06,0.0,3803120,893695,330814
31.7,2256.06,0.0,3783776,962977,330836
34.2,2256.06,0.0,3490400,1046244,330878
36.6,2256.06,0.0,3192704,1119545,335390
39.0,2256.06,0.0,2996272,1192918,341802
41.4,2256.06,0.0,2995776,1267434,350325
43.8,2256.06,0.0,2974672,1347795,359548
46.2,2256.06,0.0,3083664,1425841,363511
48.6,2256.06,0.0,2810160,1529816,372788
51.0,2256.06,0.0,3086672,1603627,373974
53.4,2256.06,0.0,3163616,1689375,373999
55.8,2256.06,0.0,3222368,1749775,374055
58.2,2256.06,0.0,3298944,1818262,377004
60.7,2256.06,0.0,3262672,1895872,380169
63.1,2256.06,0.0,3079456,1969540,384964
65.5,2256.06,0.0,2585488,2042171,392220
67.9,2256.06,0.0,2539424,2121263,399186
70.3,2256.06,0.0,2793504,2215262,406138
72.8,2256.06,0.0,3118944,2289287,409445
75.2,2256.06,0.0,3047792,2362377,416655
77.6,2256.06,0.0,2981552,2426178,417189
80.0,2256.06,0.0,3054992,2499740,420210
82.4,2256.06,0.0,3044032,2569221,424263
84.8,2256.06,0.0,3261984,2638772,429137
87.3,2256.06,0.0,3071424,2698675,435141
89.7,2256.06,0.0,2981152,2791768,445329
92.1,2256.06,0.0,3103104,2869919,449300
94.5,2256.06,0.0,3096800,2942396,453818
96.9,2256.06,0.0,3194400,3041924,491303
99.3,2256.06,0.0,3339328,3109745,492411
101.7,2256.06,0.0,3449584,3199116,496801
104.1,2256.06,0.0,3375088,3281015,499606
106.6,2256.06,0.0,3080896,3361361,508027
109.0,2256.06,0.0,3410416,3434837,510488
111.4,2256.06,0.0,3156688,3525160,519537
113.8,2256.06,0.0,3033904,3610246,532503
116.3,2256.06,0.0,3249152,3696407,541503
118.7,2256.06,0.0,3183568,3803841,557781
121.1,2256.06,0.0,2847904,3886307,571173
123.5,2256.06,0.0,3297456,3976986,578255
