t_s,swap_mb,swap_delta_mb,rss_kb,faults,pageins
0.4,2256.06,0.0,2176,14677,4955
2.7,2256.06,0.0,1519984,109096,53501
5.1,2256.06,0.0,2997296,201308,100883
7.5,2256.06,0.0,4461840,292539,147648
9.9,2256.06,0.0,5636672,363940,184153
12.3,2256.06,0.0,3502624,422133,214013
14.7,2256.06,0.0,4220896,489879,246475
17.1,2256.06,0.0,4716672,549185,277505
19.5,2256.06,0.0,4881728,658049,316623
21.9,2256.06,0.0,3995584,896130,331014
24.3,2256.06,0.0,4012320,1093176,331023
26.7,2256.06,0.0,3145840,1278141,342082
29.1,2256.06,0.0,3174128,1512946,358840
31.5,2256.06,0.0,3069568,1704556,374174
33.9,2256.06,0.0,3206768,1880186,374180
36.3,2256.06,0.0,3132944,2080171,382668
38.7,2256.06,0.0,3196288,2274709,398013
41.1,2256.06,0.0,3013488,2488491,412018
43.5,2256.06,0.0,3065632,2697423,420197
46.1,2256.06,0.0,2909184,2909284,463687
48.5,2256.06,0.0,3382336,3122909,478286
50.9,2256.06,0.0,3399584,3321787,490744
53.3,2256.06,0.0,3030288,3537792,507539
55.7,2256.06,0.0,3182128,3755595,536042
58.1,2256.06,0.0,3114848,3982287,556792
