t_s,swap_mb,swap_delta_mb,rss_kb,faults,pageins
0.4,2280.06,0.0,3952,14678,4904
2.8,2280.06,0.0,1559872,109916,53534
5.1,2280.06,0.0,2652080,175412,86832
7.7,2280.06,0.0,3618720,235804,117633
10.1,2280.06,0.0,2453424,294964,145414
12.4,2280.06,0.0,3112624,353948,175636
14.9,2280.06,0.0,3552704,412591,205838
17.3,2272.06,-8.0,3847488,464939,233136
19.7,2272.06,-8.0,3916688,522232,260379
22.2,2272.06,-8.0,3571648,568332,284595
24.7,2272.06,-8.0,2971472,583335,289473
27.1,2272.06,-8.0,4175312,778249,399814
29.5,2272.06,-8.0,4939728,959796,497770
32.0,2272.06,-8.0,4846416,1120354,562271
34.4,2272.06,-8.0,5198816,1289245,631229
36.8,2272.06,-8.0,5222736,1442064,696617
39.2,2272.06,-8.0,5130592,1629095,761630
41.6,2264.06,-16.0,5055360,1776189,820855
44.0,2264.06,-16.0,5071152,1921844,875834
46.4,2264.06,-16.0,4752240,2091182,938150
48.9,2264.06,-16.0,4981664,2248538,1010380
51.4,2264.06,-16.0,4971664,2402854,1072808
53.8,2264.06,-16.0,4941232,2553904,1130464
56.3,2264.06,-16.0,4616672,2727170,1193550
58.7,2256.06,-24.0,4410176,2871514,1270242
61.1,2256.06,-24.0,4665328,3047963,1336510
63.6,2256.06,-24.0,4789184,3195129,1407587
66.0,2256.06,-24.0,4778912,3360922,1468063
68.4,2256.06,-24.0,4832192,3534675,1538735
70.8,2256.06,-24.0,4719792,3717885,1618475
73.2,2256.06,-24.0,4578016,3882976,1695104
